Date,Subject,Channel
Jan-15,Out of Hours,Article on foodWEB
Jan-15,Email Mailbox Clear Out Competition results,Article on foodWEB
Jan-15,RfI Security Training,Poster
Feb-15,Email Attacks,Article on foodWEB
Feb-15,Information Management Group Meeting,face to face
Feb-15,Advice on using EDRMS Wisdom,Live Yammer Chat
Feb-15,Information Management Service,Article on foodWEB
Mar-15,RfI Security Training,Article on foodWEB
Mar-15,Stay Secure on Social Media,Article on foodWEB
Mar-15,SeCuRE3 Culture Tool,Article on foodWEB
Mar-15,Records Management Forum,face to face
Mar-15,How Big is your Mailbox?,Article on foodWEB
Mar-15,Ten Top Tips,Article on foodWEB
Apr-15,Intro to Cyber Security Course,Article on foodWEB/Yammer
Apr-15,Information Management Group Meeting,face to face
Apr-15,How to make an enquiry about Wisdom (EDRMS),Article on foodWEB/Yammer/email to superusers
Apr-15,Clear Desk and Clear Screen,Article on foodWEB
May-15,Guide to travelling abroad,Article on foodWEB
May-15,Travel to China,Article on foodWEB
May-15,RfI Security Training results,Article on foodWEB/Yammer
May-15,Email Deletion Guidance,Article on foodWEB
May-15,Password Campaign,Article on foodWEB/Yammer
Jun-15,Workplace Behaviours - Wear them In,Article on foodWEB/Poster by exits
Jul-15,Information Management Group Meeting,face to face
Jul-15,Records Management Forum,face to face
Jul-15,Guidance on clearing out paper records,Article on foodWEB
Aug-15,Workplace Behaviours - Visitor Awareness,Article on foodWEB/Poster in building/Yammer
Sep-15,Information Management Group Meeting,face to face
Sep-15,Wisdom Week - Records Management,Article on foodWEB/Posters in building/Yammer
Oct-15,Workplace Behaviours - Visitor Awareness,Article on foodWEB
Oct-15,Secruity Training,Poster
Oct-15,Workplace Behaviours - Are you Cyber Savvy,Article in foodWEB/Yammer
Oct-15,Phishing eMail Warning,Article in foodWEB/Yammer
Oct-15,RfI Security Training Article ,Article in foodWEB/Yammer
Oct-15,Records Management Forum,face to face
Oct-15,Revised Information Management Rules,FoodWEB - information pages
Oct-15,Data Protection Awareness Survey,Survey Monkey
Oct-15,Offisite Storage Guidance,Article in foodWEB
Nov-15,Digital Footprint,Yammer/foodWEB
Dec-15,Stay Safe at Christmas,foodWEB
